rater_id,dialog_id,recipe_title,recipe_type,condition,is_gold,gold_expected_min,gold_expected_max,is_imc,imc_expected_overall,imc_pass_global,imc_dialog_pass,min_time_ok_dialog,gold_pass,duration_sec,comment,truthfulness,relevance,clarity,logic_coherence,feedback_depth,relation_appropriateness,respect_appreciation,overall,keep_row,exclusion_reasons
P018,D049,Bread Pudding I,sweet,bad,0,,,0,,1,,1,,78.92043685913086,,1,2,2,1,1,1,1,1,True,
P018,D013,Ice Cream Kolacky,sweet,good,0,,,0,,1,,1,,114.0909423828125,,7,7,7,7,6,7,7,7,True,
P018,D020,Bill Yosses's Cheesecake,sweet,good,0,,,0,,1,,1,,109.13424968719482,,7,7,7,7,7,7,7,7,True,
P047,D068,Corned Beef-Stuffed Pumpernickel,savory,bad,0,,,0,,1,,1,,83.85406708717346,,2,3,4,1,2,1,1,2,True,
P047,D019,Carrot Casserole,savory,good,0,,,0,,1,,1,,211.98127102851868,,5,6,6,5,5,7,7,5,True,
P047,D061,Bill Yosses's Cheesecake,sweet,bad,0,,,0,,1,,1,,150.4115436077118,,3,2,4,1,1,2,1,2,True,
P047,D035,Minted Marinated Zucchini,savory,good,0,,,0,,1,,1,,213.52647852897644,,3,3,5,3,3,6,4,4,True,
P047,D080,Cuban-Style Pork and Sweet Potatoes,savory,bad,0,,,0,,1,,1,,53.13884043693543,,3,3,5,2,2,1,1,2,True,
P047,D062,Mock Caprese Salad,savory,bad,0,,,0,,1,,1,,133.11815190315247,,5,5,5,3,5,2,2,3,True,
P047,D014,Mom's Margarine Cake,sweet,good,0,,,0,,1,,1,,94.76722478866576,,6,6,6,6,7,6,7,5,True,
P047,D031,Pasta with Vietnamese Pesto,savory,good,0,,,0,,1,,1,,75.73405861854553,,6,6,6,6,5,7,6,6,True,
P055,D078,Herbed Chuck Steaks,savory,bad,0,,,0,,1,,1,,260.71426153182983,,2,4,6,3,2,3,3,2,True,
P055,D075,Sticky Sweet and Sour Chicken,savory,bad,0,,,0,,1,,1,,60.23945593833923,,5,4,6,3,2,3,3,2,True,
P055,D038,Layered Mousse Bites,sweet,good,0,,,0,,1,,1,,167.4373457431793,,6,5,6,6,6,7,7,5,True,
P055,D007,Red Bliss Potato Salad with Gorgonzola and Walnuts,sweet,good,0,,,0,,1,,1,,95.17260336875916,,5,5,6,4,5,6,6,4,True,
P055,D063,Orange Beef Kabobs with Grilled Fruit,savory,bad,0,,,0,,1,,1,,85.75596952438354,,2,3,4,2,1,2,1,1,True,
P055,D014,Mom's Margarine Cake,sweet,good,0,,,0,,1,,1,,60.1820011138916,,7,7,6,7,7,6,6,7,True,
P055,D018,That Addicting Salad,savory,good,0,,,0,,1,,1,,44.58684515953064,,7,6,6,6,6,7,7,6,True,
P055,D074,White Chocolate and Passion Fruit Cheesecake,sweet,bad,0,,,0,,1,,1,,39.04876589775085,,5,6,6,4,4,3,2,4,True,
P069,D021,Orange Beef Kabobs with Grilled Fruit,savory,good,0,,,0,,1,,1,,199.44928073883057,,7,7,7,7,7,7,7,7,True,
P069,D048,Red Bliss Potato Salad with Gorgonzola and Walnuts,sweet,bad,0,,,0,,1,,1,,92.98147821426392,,3,3,2,2,2,1,1,2,True,
P069,D069,Turkey Tom Kha Gai,savory,bad,0,,,0,,1,,1,,135.51554107666016,,2,2,2,1,1,3,2,2,True,
P069,D041,Moong Dal,savory,bad,0,,,0,,1,,1,,105.54784154891968,,2,3,2,1,3,1,2,2,True,
P069,D033,Mock Caprese Salad,savory,good,0,,,0,,1,,1,,179.36494326591492,,7,6,7,7,6,7,7,7,True,
P069,D018,That Addicting Salad,savory,good,0,,,0,,1,,1,,137.34379839897156,,6,7,7,7,6,7,7,7,True,
P069,D026,White Chocolate and Passion Fruit Cheesecake,sweet,good,0,,,0,,1,,1,,145.4233157634735,,6,5,5,5,6,6,7,5,True,
P069,D077,Apple Pie Filling,sweet,bad,0,,,0,,1,,1,,61.32571077346802,,2,3,2,1,1,2,2,2,True,
P072,D008,Bread Pudding I,sweet,good,0,,,0,,1,,1,,121.02734375,,7,7,7,6,5,6,6,6,True,
P072,D078,Herbed Chuck Steaks,savory,bad,0,,,0,,1,,1,,88.82292342185974,,2,1,3,2,1,1,1,1,True,
P072,D033,Mock Caprese Salad,savory,good,0,,,0,,1,,1,,100.17067170143127,,7,6,7,7,7,7,7,7,True,
P072,D061,Bill Yosses's Cheesecake,sweet,bad,0,,,0,,1,,1,,62.2759428024292,,3,2,2,2,1,1,1,2,True,
P072,D048,Red Bliss Potato Salad with Gorgonzola and Walnuts,sweet,bad,0,,,0,,1,,1,,84.48947548866272,,1,2,2,1,1,1,1,1,True,
P072,D072,Layered Mousse Bites,sweet,bad,0,,,0,,1,,1,,87.14377450942993,,2,1,1,1,2,1,1,1,True,
P072,D004,Grain-Free Apple Cinnamon Dutch Babies,sweet,good,0,,,0,,1,,1,,106.90957379341124,,7,7,7,6,6,7,7,7,True,
P072,D010,Coriander and Cumin Rubbed Pork Chops,savory,good,0,,,0,,1,,1,,82.88438558578491,,7,7,7,7,6,7,6,6,True,
P076,D022,Very Old Meatloaf Recipe,savory,good,0,,,0,,1,,1,,228.5174586772919,,6,1,7,6,4,7,7,4,True,
P076,D040,Apple Pie Filling,sweet,good,0,,,0,,1,,1,,239.83229541778564,,7,7,7,7,7,7,7,7,True,
P076,D025,Sweet and Nutty Pork Chops,savory,good,0,,,0,,1,,1,,248.26046872138977,,7,7,7,7,7,7,7,7,True,
P076,D024,Turkey Tom Kha Gai,savory,good,0,,,0,,1,,1,,214.3514335155487,,7,7,7,7,7,7,7,7,True,
P076,D064,Au Gratin-Pumpkin Layered Casserole,savory,bad,0,,,0,,1,,1,,297.8797469139099,,1,1,7,1,2,1,1,1,True,
P076,D065,Minted Marinated Zucchini,savory,bad,0,,,0,,1,,1,,196.55284070968628,,1,1,7,1,1,1,1,1,True,
P076,D042,Bourbon Wieners,sweet,bad,0,,,0,,1,,1,,131.66956639289856,,1,1,7,1,1,1,1,1,True,
P076,D050,Whole Grain Barley and Apple Porridge,sweet,bad,0,,,0,,1,,1,,125.66845798492432,,1,1,7,1,1,1,1,1,True,
P080,D071,Carrot and Sweet Potato Tzimmes,savory,bad,0,,,0,,1,,1,,114.72807145118712,,2,1,2,2,1,1,1,1,True,
P080,D031,Pasta with Vietnamese Pesto,savory,good,0,,,0,,1,,1,,87.0893177986145,,6,6,6,7,7,6,7,6,True,
P080,D040,Apple Pie Filling,sweet,good,0,,,0,,1,,1,,100.9489221572876,,7,7,7,7,7,7,7,7,True,
P080,D054,Ice Cream Kolacky,sweet,bad,0,,,0,,1,,1,,58.78486967086792,,1,1,1,1,1,1,1,1,True,
P080,D072,Layered Mousse Bites,sweet,bad,0,,,0,,1,,1,,43.13183236122131,,1,1,1,1,1,1,1,1,True,
P080,D035,Minted Marinated Zucchini,savory,good,0,,,0,,1,,1,,99.36878061294556,,5,4,6,3,2,6,6,3,True,
P080,D059,That Addicting Salad,savory,bad,0,,,0,,1,,1,,52.312087297439575,,1,1,2,2,2,1,1,1,True,
P080,D002,Bourbon Wieners,sweet,good,0,,,0,,1,,1,,93.14698314666748,,7,7,6,6,7,7,7,6,True,
P084,D069,Turkey Tom Kha Gai,savory,bad,0,,,0,,1,,1,,279.6186990737915,,5,1,6,2,2,1,1,2,True,
P084,D007,Red Bliss Potato Salad with Gorgonzola and Walnuts,sweet,good,0,,,0,,1,,1,,271.5934307575226,,6,5,6,6,5,7,7,6,True,
P084,D038,Layered Mousse Bites,sweet,good,0,,,0,,1,,1,,267.0234863758087,,5,6,5,5,6,7,7,5,True,
P084,D075,Sticky Sweet and Sour Chicken,savory,bad,0,,,0,,1,,1,,85.83465838432312,,5,1,6,1,1,2,2,2,True,
P084,D002,Bourbon Wieners,sweet,good,0,,,0,,1,,1,,205.7438564300537,,7,7,7,7,6,7,7,7,True,
P084,D059,That Addicting Salad,savory,bad,0,,,0,,1,,1,,82.22600317001343,,6,6,6,5,4,1,1,4,True,
P084,D068,Corned Beef-Stuffed Pumpernickel,savory,bad,0,,,0,,1,,1,,62.188246965408325,,3,2,2,2,1,1,1,2,True,
P084,D009,Whole Grain Barley and Apple Porridge,sweet,good,0,,,0,,1,,1,,80.57310175895691,,6,6,7,6,7,7,7,6,True,
P091,D060,Carrot Casserole,savory,bad,0,,,0,,1,,1,,241.292329788208,,2,2,6,1,2,1,2,2,True,
P091,D080,Cuban-Style Pork and Sweet Potatoes,savory,bad,0,,,0,,1,,1,,178.9134395122528,,1,2,7,2,3,2,1,2,True,
P091,D067,Very Old Meatloaf Recipe,savory,bad,0,,,0,,1,,1,,180.07735538482666,,6,6,7,6,6,2,1,2,True,
P091,D020,Bill Yosses's Cheesecake,sweet,good,0,,,0,,1,,1,,112.98130536079408,,7,7,6,7,7,7,7,7,True,
P091,D021,Orange Beef Kabobs with Grilled Fruit,savory,good,0,,,0,,1,,1,,126.28980422019958,,7,7,6,7,7,7,7,7,True,
P091,D034,Au Gratin-Pumpkin Layered Casserole,savory,good,0,,,0,,1,,1,,210.7259495258332,,5,5,7,2,5,7,7,3,True,
P091,D070,Sweet and Nutty Pork Chops,savory,bad,0,,,0,,1,,1,,140.4741611480713,,6,6,7,5,6,2,1,5,True,
P091,D054,Ice Cream Kolacky,sweet,bad,0,,,0,,1,,1,,106.6053867340088,,5,6,7,5,6,1,1,3,True,
P104,D073,Grandma's Apple Dumplings,sweet,bad,0,,,0,,1,,1,,121.34164214134216,,1,2,2,2,1,1,1,1,True,
P104,D003,Cobb Salad Ham Roll-ups,savory,good,0,,,0,,1,,1,,276.3026213645935,,6,7,6,6,7,7,7,6,True,
P104,D062,Mock Caprese Salad,savory,bad,0,,,0,,1,,1,,100.89168214797974,,1,2,2,1,1,1,1,1,True,
P104,D037,Carrot and Sweet Potato Tzimmes,savory,good,0,,,0,,1,,1,,101.23414421081544,,7,7,7,7,7,7,7,7,True,
P104,D025,Sweet and Nutty Pork Chops,savory,good,0,,,0,,1,,1,,186.34687542915344,,7,7,7,7,7,7,7,7,True,
P104,D060,Carrot Casserole,savory,bad,0,,,0,,1,,1,,105.26242756843568,,2,2,2,2,1,1,1,1,True,
P104,D022,Very Old Meatloaf Recipe,savory,good,0,,,0,,1,,1,,131.0852117538452,,6,6,6,5,5,7,7,6,True,
P104,D065,Minted Marinated Zucchini,savory,bad,0,,,0,,1,,1,,63.56309247016907,,1,2,1,1,1,1,1,1,True,
P106,D047,Jeanine's Decadent Brownies,sweet,bad,0,,,0,,1,,1,,108.68115639686584,,5,4,3,2,4,4,2,2,True,
P106,D071,Carrot and Sweet Potato Tzimmes,savory,bad,0,,,0,,1,,1,,110.4582221508026,,3,4,5,2,4,4,3,3,True,
P106,D067,Very Old Meatloaf Recipe,savory,bad,0,,,0,,1,,1,,133.1306746006012,,4,3,5,4,4,5,3,3,True,
P106,D032,Cuban-Style Pork and Sweet Potatoes,savory,good,0,,,0,,1,,1,,83.01408910751343,,6,7,6,6,5,6,5,6,True,
P106,D070,Sweet and Nutty Pork Chops,savory,bad,0,,,0,,1,,1,,86.88526105880737,,3,3,4,2,3,5,3,3,True,
P106,D013,Ice Cream Kolacky,sweet,good,0,,,0,,1,,1,,112.06829881668092,,6,6,5,6,5,5,5,7,True,
P106,D034,Au Gratin-Pumpkin Layered Casserole,savory,good,0,,,0,,1,,1,,154.55169367790222,,5,6,5,6,5,5,5,6,True,
P106,D019,Carrot Casserole,savory,good,0,,,0,,1,,1,,156.6103389263153,,5,6,4,5,5,5,5,7,True,
P109,D004,Grain-Free Apple Cinnamon Dutch Babies,sweet,good,0,,,0,,1,,1,,160.2861773967743,,3,2,3,2,2,7,6,4,True,
P109,D028,Spanish Omelet,savory,good,0,,,0,,1,,1,,204.1824131011963,,6,6,7,7,7,7,7,7,True,
P109,D047,Jeanine's Decadent Brownies,sweet,bad,0,,,0,,1,,1,,162.4203679561615,,2,4,4,1,3,1,1,2,True,
P109,D010,Coriander and Cumin Rubbed Pork Chops,savory,good,0,,,0,,1,,1,,171.74579238891602,,7,6,7,6,6,7,7,6,True,
P109,D041,Moong Dal,savory,bad,0,,,0,,1,,1,,87.74804425239563,,1,2,3,1,1,1,1,1,True,
P109,D055,Mom's Margarine Cake,sweet,bad,0,,,0,,1,,1,,60.7140679359436,,1,1,1,1,1,1,1,1,True,
P109,D015,Seitan Philly Cheese Steak Sandwiches,savory,good,0,,,0,,1,,1,,157.481924533844,,6,6,6,7,6,7,7,6,True,
P109,D042,Bourbon Wieners,sweet,bad,0,,,0,,1,,1,,70.7170717716217,,1,1,1,1,1,1,1,1,True,
P162,D008,Bread Pudding I,sweet,good,0,,,0,,1,,1,,91.50906157493591,,6,7,7,6,7,7,7,6,True,
P165,D077,Apple Pie Filling,sweet,bad,0,,,0,,1,,1,,94.382963180542,,2,2,4,4,3,2,2,3,True,
P165,D074,White Chocolate and Passion Fruit Cheesecake,sweet,bad,0,,,0,,1,,1,,84.75999975204468,,3,2,4,2,3,2,2,5,True,
P165,D015,Seitan Philly Cheese Steak Sandwiches,savory,good,0,,,0,,1,,1,,77.33175587654114,,6,7,7,7,7,7,7,7,True,
P165,D024,Turkey Tom Kha Gai,savory,good,0,,,0,,1,,1,,75.58134841918945,,5,5,6,6,7,7,7,7,True,
P165,D050,Whole Grain Barley and Apple Porridge,sweet,bad,0,,,0,,1,,1,,78.37822151184082,,3,6,4,5,5,3,3,5,True,
P165,D003,Cobb Salad Ham Roll-ups,savory,good,0,,,0,,1,,1,,58.621294021606445,,5,5,6,7,6,6,7,7,True,
P165,D028,Spanish Omelet,savory,good,0,,,0,,1,,1,,80.05115938186646,,4,5,5,4,5,6,6,6,True,
P165,D055,Mom's Margarine Cake,sweet,bad,0,,,0,,1,,1,,65.49019765853882,,2,1,3,3,2,2,2,2,True,
P167,D037,Carrot and Sweet Potato Tzimmes,savory,good,0,,,0,,1,,1,,117.73628187179564,,7,7,6,6,5,7,7,6,True,
P167,D063,Orange Beef Kabobs with Grilled Fruit,savory,bad,0,,,0,,1,,1,,135.6084702014923,,1,2,5,1,1,3,2,1,True,
P167,D064,Au Gratin-Pumpkin Layered Casserole,savory,bad,0,,,0,,1,,1,,101.624769449234,,2,2,4,1,2,1,1,2,True,
P167,D009,Whole Grain Barley and Apple Porridge,sweet,good,0,,,0,,1,,1,,101.80035853385924,,7,7,7,7,6,7,7,7,True,
P167,D026,White Chocolate and Passion Fruit Cheesecake,sweet,good,0,,,0,,1,,1,,108.6276581287384,,7,6,7,6,6,7,7,6,True,
P167,D032,Cuban-Style Pork and Sweet Potatoes,savory,good,0,,,0,,1,,1,,113.29676961898804,,7,5,6,5,5,7,7,5,True,
P167,D073,Grandma's Apple Dumplings,sweet,bad,0,,,0,,1,,1,,136.864577293396,,3,4,3,2,4,3,1,3,True,
P167,D049,Bread Pudding I,sweet,bad,0,,,0,,1,,1,,87.65060448646545,,1,2,1,2,2,1,1,1,True,
